fecha,año,mes,ciudad_origen,ciudad_destino,tipo_transporte,tipo_carga,empresa_transportadora,peso_kg,distancia_km,tiempo_planificado_horas,tiempo_real_horas,retraso_horas,costo_cop,estado_entrega,temperatura_celsius,numero_paradas,calificacion_servicio
2023-08-02,2023,8,Medellín,Bogotá,Marítimo,Refrigerada,MoviCarga,7062.94,474.2,95.1,112.4,17.3,5442364,Entregado,-3.8,0,1.3
2023-05-17,2023,5,Bogotá,Pasto,Aéreo,Líquidos,LogiNorte,11099.99,789.3,6.9,5.6,0.0,96852284,Retrasado,,0,4.3
2020-11-14,2020,11,Barranquilla,Armenia,Marítimo,General,LogiExpress,19058.37,910.3,57.0,56.2,0.0,11842895,Entregado,,0,4.1
2022-02-14,2022,2,Medellín,Pasto,Marítimo,Líquidos,CargaSur,28909.87,1497.8,28.4,27.3,0.0,45341213,Entregado,,0,4.2
2020-07-25,2020,7,Pereira,Cartagena,Fluvial,Peligrosa,CargoNacional,18572.03,286.2,28.0,40.8,12.8,18133198,Entregado,,0,1.3
2024-02-02,2024,2,Barranquilla,Cali,Fluvial,Sobredimensionada,ExpressTrans,49477.22,566.0,45.4,58.1,12.7,129666359,Entregado,,0,1.3
2020-03-06,2020,3,Villavicencio,Bucaramanga,Fluvial,Peligrosa,LogiExpress,10628.04,762.9,64.6,65.9,1.3,24200290,Entregado,,0,4.4
2022-07-28,2022,7,Cali,Bucaramanga,Aéreo,Refrigerada,CargoRápido,26994.97,947.0,4.6,5.6,1.0,179395523,Retrasado,-3.2,0,4.0
2024-03-27,2024,3,Bogotá,Popayán,Terrestre,Refrigerada,CargoNacional,39624.76,662.1,15.6,16.6,1.0,78452266,Entregado,1.9,4,4.4
2020-01-24,2020,1,Manizales,Villavicencio,Terrestre,Líquidos,ExpressTrans,38453.08,543.3,10.5,9.6,0.0,10615278,Entregado,,5,4.9
2021-06-23,2021,6,Ibagué,Armenia,Aéreo,Líquidos,LogiExpress,43538.88,498.4,5.8,7.1,1.3,86614951,Entregado,,0,4.0
2024-05-13,2024,5,Popayán,Ibagué,Terrestre,Líquidos,CargaSur,24481.42,212.2,3.9,5.8,1.9,13075380,Retrasado,,1,3.6
2024-12-03,2024,12,Pasto,Medellín,Terrestre,Sobredimensionada,LogiExpress,48901.43,822.4,18.3,23.1,4.8,115305703,En Tránsito,,1,2.8
2024-11-21,2024,11,Pasto,Pereira,Aéreo,Líquidos,MoviCarga,35676.15,599.0,6.0,6.4,0.4,229287603,Entregado,,0,3.7
2020-05-11,2020,5,Bucaramanga,Bogotá,Aéreo,Líquidos,MoviCarga,458.82,907.8,2.4,2.0,0.0,882151,Entregado,,0,4.5
2021-07-24,2021,7,Manizales,Santa Marta,Aéreo,Líquidos,CargoNacional,36195.29,1082.4,5.5,5.3,0.0,251403778,Entregado,,0,4.1
2023-09-11,2023,9,Pereira,Bucaramanga,Fluvial,Sobredimensionada,TransAndino,43205.45,185.2,51.2,64.1,12.9,9009744,Entregado,,0,2.2
2020-08-11,2020,8,Barranquilla,Cartagena,Aéreo,Líquidos,TransAndino,7095.1,383.5,4.8,6.8,2.0,8647170,Entregado,,0,4.4
2020-07-19,2020,7,Bogotá,Neiva,Terrestre,General,MoviCarga,8398.92,754.2,15.5,16.8,1.3,4095793,Entregado,,3,3.5
2022-03-10,2022,3,Cartagena,Armenia,Fluvial,Peligrosa,LogiNorte,34859.92,624.8,59.0,74.5,15.5,44490375,Entregado,,0,1.3
2020-04-29,2020,4,Pasto,Villavicencio,Terrestre,Peligrosa,TransColombia S.A.,2602.1,741.3,9.7,11.4,1.7,1238761,Entregado,,4,3.6
2021-01-15,2021,1,Medellín,Manizales,Terrestre,Refrigerada,LogiNorte,6082.34,1340.9,26.9,32.7,5.8,16706799,Entregado,0.4,4,3.1
2021-10-09,2021,10,Popayán,Cartagena,Aéreo,Peligrosa,MoviCarga,13354.16,330.9,5.9,6.6,0.7,60759508,Entregado,,0,3.5
2023-06-26,2023,6,Pasto,Medellín,Terrestre,Líquidos,MoviCarga,25343.65,242.1,4.5,3.8,0.0,6814987,Entregado,,2,4.2
2024-09-03,2024,9,Ibagué,Villavicencio,Marítimo,Líquidos,CargoRápido,490.37,1689.1,52.7,66.6,13.9,2108413,Entregado,,0,1.2
2020-08-07,2020,8,Neiva,Ibagué,Aéreo,Peligrosa,ExpressTrans,30281.01,917.6,3.2,4.0,0.8,128182645,En Tránsito,,0,4.4
2024-09-28,2024,9,Bogotá,Cali,Fluvial,Peligrosa,TransColombia S.A.,276.93,651.2,50.2,49.4,0.0,658450,Entregado,,0,4.4
2020-01-20,2020,1,Medellín,Cali,Aéreo,Líquidos,TransColombia S.A.,41746.29,782.5,2.9,2.6,0.0,199151534,Entregado,,0,4.8
2024-10-28,2024,10,Bogotá,Pereira,Aéreo,Refrigerada,LogiExpress,17748.56,759.9,7.2,10.7,3.5,155318367,Entregado,-1.9,0,2.7
2024-06-26,2024,6,Villavicencio,Cali,Fluvial,General,CargoNacional,36854.57,365.9,67.8,92.3,24.5,64956088,Entregado,,0,1.4
2024-05-31,2024,5,Neiva,Medellín,Fluvial,General,TransAndino,11199.44,680.8,39.6,40.1,0.5,23290832,Entregado,,0,3.5
2021-01-30,2021,1,Pereira,Bucaramanga,Marítimo,General,ExpressTrans,17622.19,1166.0,89.2,124.0,34.8,22354722,Entregado,,0,2.3
2021-06-18,2021,6,Cali,Manizales,Marítimo,General,LogiExpress,29868.91,887.7,99.5,110.0,10.5,69153804,Entregado,,0,2.3
2021-01-24,2021,1,Cartagena,Bogotá,Fluvial,General,CargoRápido,46286.2,500.0,55.2,72.8,17.6,68719391,Retrasado,,0,1.1
